reporting_entity,facility_name,type,state,electricity_production_gj,electricity_production_mwh,total_scope_1_emissions_t_co2_e,total_scope_2_emissions_t_co2_e,total_emissions_t_co2_e,emission_intensity_t_co2_e_mwh,grid_connected,grid,primary_fuel,year,controlling_corporation,is_summary,geo_query,latitude,longitude,place_id,formatted_address,geocode_status
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,German Creek CMM Power Station,F,QLD,1105348.0,307041.0,133357.0,21.0,133378,0.43,On,NEM,Waste Coal Mine Gas,2020,,False,"German Creek CMM Power Station, QLD, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Glennies Creek WCMG Power Station,F,NSW,297038.0,82511.0,43349.0,4.0,43353,0.53,On,NEM,Waste Coal Mine Gas,2020,,False,"Glennies Creek WCMG Power Station, NSW, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Grange Avenue LFG Power Station,F,NSW,17589.0,4886.0,281.0,7.0,288,0.06,On,NEM,Landfill Gas,2020,,False,"Grange Avenue LFG Power Station, NSW, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Grosvenor 1 WCMG Power Station,F,QLD,600600.0,166833.0,91185.0,21.0,91206,0.55,On,NEM,Waste Coal Mine Gas,2020,,False,"Grosvenor 1 WCMG Power Station, QLD, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Grosvenor 2 WCMG Power Station,F,QLD,440605.0,122390.0,67697.0,9.0,67706,0.55,On,NEM,Waste Coal Mine Gas,2020,,False,"Grosvenor 2 WCMG Power Station, QLD, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Halls Creek LNG Power Station,F,WA,42258.0,11738.0,7824.0,0.0,7824,0.67,Off,Off-grid,Gas,2020,,False,"Halls Creek LNG Power Station, WA, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Jack's Gully LFG Power Station,F,NSW,33019.0,9172.0,536.0,2.0,538,0.06,On,NEM,Landfill Gas,2020,,False,"Jack's Gully LFG Power Station, NSW, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Kalamunda Power Station,F,WA,16.0,4.0,3.0,2.0,5,0.68,On,SWIS,Diesel,2020,,False,"Kalamunda Power Station, WA, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Laverton Facility,F,WA,15468.0,4297.0,3005.0,0.0,3005,0.7,Off,Off-grid,Diesel,2020,,False,"Laverton Facility, WA, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Leonora Facility,F,WA,31326.0,8702.0,6577.0,0.0,6577,0.76,Off,Off-grid,Gas,2020,,False,"Leonora Facility, WA, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Looma NGD power Station,F,WA,8782.0,2440.0,1943.0,0.0,1943,0.8,Off,Off-grid,Diesel,2020,,False,"Looma NGD power Station, WA, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Lucas Heights 1 LFG Power Station,F,NSW,43971.0,12214.0,729.0,2.0,731,0.06,On,NEM,Landfill Gas,2020,,False,"Lucas Heights 1 LFG Power Station, NSW, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Lucas Heights 2 LFG Power Station,F,NSW,379119.0,105311.0,6114.0,2.0,6116,0.06,On,NEM,Landfill Gas,2020,,False,"Lucas Heights 2 LFG Power Station, NSW, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,McArthur River Power Station,F,NT,1178932.0,327481.0,155049.0,0.0,155049,0.47,Off,Off-grid,Gas,2020,,False,"McArthur River Power Station, NT, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Menzies Facility,F,WA,2616.0,727.0,569.0,0.0,569,0.78,Off,Off-grid,Diesel,2020,,False,"Menzies Facility, WA, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Moranbah North CMM Power Station,F,QLD,1607807.0,446613.0,253284.0,11.0,253295,0.57,On,NEM,Waste Coal Mine Gas,2020,,False,"Moranbah North CMM Power Station, QLD, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Mugga Lane LFG Power Station,F,ACT,80259.0,22294.0,1278.0,4.0,1282,0.06,On,NEM,Landfill Gas,2020,,False,"Mugga Lane LFG Power Station, ACT, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Oaky Creek II WCMG Power Station,F,QLD,297038.0,82511.0,47652.0,20.0,47672,0.58,On,NEM,Waste Coal Mine Gas,2020,,False,"Oaky Creek II WCMG Power Station, QLD, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Oaky Creek WCMG Power Station,F,QLD,460242.0,127845.0,65530.0,15.0,65545,0.51,On,NEM,Waste Coal Mine Gas,2020,,False,"Oaky Creek WCMG Power Station, QLD, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Pine Creek A Power Station,F,NT,678990.0,188608.0,90418.0,0.0,90418,0.48,On,DKIS,Gas,2020,,False,"Pine Creek A Power Station, NT, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Red Hill LFG Power Station,F,WA,80882.0,22467.0,1114.0,2.0,1116,0.05,On,SWIS,Landfill Gas,2020,,False,"Red Hill LFG Power Station, WA, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Springvale LFG Power Station,F,VIC,47327.0,13146.0,662.0,5.0,667,0.05,On,NEM,Landfill Gas,2020,,False,"Springvale LFG Power Station, VIC, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Tahmoor WCMG Power Station,F,NSW,187072.0,51964.0,28004.0,4.0,28008,0.54,On,NEM,Waste Coal Mine Gas,2020,,False,"Tahmoor WCMG Power Station, NSW, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Tamala Park LFG Power Station,F,WA,133566.0,37102.0,1837.0,3.0,1840,0.05,On,SWIS,Landfill Gas,2020,,False,"Tamala Park LFG Power Station, WA, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Tower CSM Power Station,F,NSW,330362.0,91767.0,65416.0,183.0,65599,0.71,On,NEM,Waste Coal Mine Gas,2020,,False,"Tower CSM Power Station, NSW, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Warmun Facility,F,WA,9815.0,2726.0,2060.0,0.0,2060,0.76,Off,Off-grid,Diesel,2020,,False,"Warmun Facility, WA, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Weipa Solar Power Station,F,QLD,7577.0,2105.0,0.0,7.0,7,0.0,Off,Off-grid,Solar,2020,,False,"Weipa Solar Power Station, QLD, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Wingfield 1 LFG Power Station,F,SA,31769.0,8825.0,613.0,2.0,615,0.07,On,NEM,Landfill Gas,2020,,False,"Wingfield 1 LFG Power Station, SA, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Wingfield 2 LFG Power Station,F,SA,58261.0,16184.0,787.0,0.0,787,0.05,On,NEM,Landfill Gas,2020,,False,"Wingfield 2 LFG Power Station, SA, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Wonthaggi Wind Farm,F,VIC,116899.0,32472.0,4.0,52.0,56,0.0,On,NEM,Wind,2020,,False,"Wonthaggi Wind Farm, VIC, Australia",,,,,
CLARE SOLAR FARM HOLDINGS PTY LTD,Clare Solar Farm,F,QLD,631256.0,175349.0,187.0,772.0,959,0.0,On,NEM,Solar,2020,,False,"Clare Solar Farm, QLD, Australia",,,,,
CLEANCO QUEENSLAND LIMITED,Barron Gorge Power Station,F,QLD,356756.0,99099.0,664.0,442.0,1106,0.01,On,NEM,Hydro,2020,,False,"Barron Gorge Power Station, QLD, Australia",,,,,
CLEANCO QUEENSLAND LIMITED,Kareeya Power Station,F,QLD,523855.0,145515.0,51.0,1922.0,1973,0.0,On,NEM,Hydro,2020,,False,"Kareeya Power Station, QLD, Australia",,,,,
CLEANCO QUEENSLAND LIMITED,Swanbank E Power Station,F,QLD,3328218.0,924505.0,349654.0,1001.0,350655,0.38,On,NEM,Gas,2020,,False,"Swanbank E Power Station, QLD, Australia",,,,,
CONTRACT POWER AUSTRALIA PTY LTD,Cue Town Powerstation,F,WA,11873.0,3298.0,2289.0,0.0,2289,0.69,Off,Off-grid,Diesel,2020,,False,"Cue Town Powerstation, WA, Australia",,,,,
